TRIPID,HOUSEID,PERSONID,TDTRPNUM,STRTTIME,TRPMILES,TRPTRANS,LOOP_TRIP,TRIPPURP,TRAVDAY,HOMEOWN,HHSIZE,HHFAMINC,HHSTATE,WRKCOUNT,LIF_CYC,URBAN,URBANSIZE,CENSUS_D,HH_RACE,EDUC,WORKER,WHYTRP90,R_AGE_IMP,R_SEX_IMP,OBHUR,DBHUR,OBPPOPDN,DBPPOPDN,TRAVELMODE
1,1,1,1,615,2.14,1,2,HBSHOP,3,2,3,5,TX,1,3,1,4,7,2,3,1,10,29,2,U,U,7000,7000,WALK
2,1,1,2,703,2.426,11,2,NHB,3,2,3,5,TX,1,3,1,4,7,2,3,1,4,29,2,U,S,7000,7000,RAIL
3,1,1,3,735,2.752,11,2,HBO,3,2,3,5,TX,1,3,1,4,7,2,3,1,10,29,2,S,U,7000,7000,RAIL
4,1,1,4,1500,2.752,11,2,HBO,3,2,3,5,TX,1,3,1,4,7,2,3,1,4,29,2,U,S,7000,7000,RAIL
5,1,1,5,1612,1.057,1,2,NHB,3,2,3,5,TX,1,3,1,4,7,2,3,1,3,29,2,S,U,7000,7000,WALK
6,1,1,6,1652,3.223,11,2,HBSHOP,3,2,3,5,TX,1,3,1,4,7,2,3,1,3,29,2,U,U,7000,7000,RAIL
7,1,2,1,615,2.14,1,2,HBSHOP,3,2,3,5,TX,1,3,1,4,7,2,-1,-1,10,6,1,U,U,7000,7000,WALK
8,1,2,2,702,2.426,11,2,NHB,3,2,3,5,TX,1,3,1,4,7,2,-1,-1,5,6,1,U,S,7000,7000,RAIL
9,1,2,3,1610,1.057,1,2,NHB,3,2,3,5,TX,1,3,1,4,7,2,-1,-1,3,6,1,S,U,7000,7000,WALK
10,1,2,4,1658,0.0,11,2,HBSHOP,3,2,3,5,TX,1,3,1,4,7,2,-1,-1,5,6,1,U,U,7000,7000,RAIL
11,1,3,1,615,2.14,1,2,HBSHOP,3,2,3,5,TX,1,3,1,4,7,2,-1,-1,10,5,1,U,U,7000,7000,WALK
12,1,3,2,702,2.426,11,2,NHB,3,2,3,5,TX,1,3,1,4,7,2,-1,-1,5,5,1,U,S,7000,7000,RAIL
13,1,3,3,1610,1.057,1,2,NHB,3,2,3,5,TX,1,3,1,4,7,2,-1,-1,3,5,1,S,U,7000,7000,WALK
14,1,3,4,1658,0.0,11,2,HBSHOP,3,2,3,5,TX,1,3,1,4,7,2,-1,-1,5,5,1,U,U,7000,7000,RAIL
15,2,1,1,1220,0.352,17,2,HBSHOP,1,1,1,5,AZ,0,9,1,4,2,1,5,2,10,86,2,S,S,7000,7000,TAXI
16,2,1,2,1330,0.489,17,2,HBSHOP,1,1,1,5,AZ,0,9,1,4,2,1,5,2,10,86,2,S,S,7000,7000,TAXI
17,3,1,1,900,11.6,16,2,HBSHOP,6,2,1,1,IL,0,1,1,5,3,2,3,2,10,33,2,U,U,17000,17000,BUS
18,3,1,2,955,10.315,11,2,NHB,6,2,1,1,IL,0,1,1,5,3,2,3,2,4,33,2,U,U,17000,17000,RAIL
19,3,1,3,1300,0.02,1,2,NHB,6,2,1,1,IL,0,1,1,5,3,2,3,2,10,33,2,U,U,17000,17000,WALK
20,3,1,4,1335,21.858,15,2,NHB,6,2,1,1,IL,0,1,1,5,3,2,3,2,4,33,2,U,U,17000,17000,BUS
21,3,1,5,1700,2.063,11,2,NHB,6,2,1,1,IL,0,1,1,5,3,2,3,2,3,33,2,U,U,17000,7000,RAIL
22,3,1,6,1735,3.883,11,2,HBSHOP,6,2,1,1,IL,0,1,1,5,3,2,3,2,4,33,2,U,U,7000,17000,RAIL
23,4,1,1,800,15.056,11,2,HBSOCREC,6,2,1,5,CA,1,1,1,5,9,2,3,1,10,39,2,U,U,17000,7000,RAIL
